Image Name,Detected Text,Box Coordinates,Confidence
1.jpeg,OMP60,"[[165.0, 430.0], [546.0, 438.0], [544.0, 530.0], [163.0, 522.0]]",0.9628
1.jpeg,MADEINIRELAND,"[[153.0, 546.0], [548.0, 552.0], [547.0, 599.0], [153.0, 593.0]]",0.9706
1.jpeg,SERIALNO 6EC427,"[[141.0, 616.0], [551.0, 619.0], [550.0, 664.0], [141.0, 661.0]]",0.9217
2.jpeg,RENISHAWU,"[[238.0, 303.0], [845.0, 407.0], [825.0, 518.0], [219.0, 413.0]]",0.9684
2.jpeg,RMP60,"[[381.0, 442.0], [726.0, 503.0], [712.0, 587.0], [366.0, 526.0]]",0.9929
2.jpeg,MADEINIRELAND,"[[347.0, 552.0], [710.0, 617.0], [702.0, 658.0], [340.0, 594.0]]",0.9889
2.jpeg,SERIALNO.1XAK27,"[[322.0, 614.0], [710.0, 681.0], [703.0, 721.0], [315.0, 654.0]]",0.9874
3.jpeg,NISHAWO,"[[78.0, 663.0], [569.0, 377.0], [639.0, 497.0], [149.0, 784.0]]",0.8515
3.jpeg,IPO,"[[212.0, 777.0], [439.0, 656.0], [498.0, 766.0], [271.0, 887.0]]",0.5505
3.jpeg,200321,"[[576.0, 918.0], [812.0, 927.0], [809.0, 994.0], [574.0, 985.0]]",0.6292
4.jpeg,OMP400,"[[102.0, 397.0], [514.0, 346.0], [525.0, 439.0], [113.0, 490.0]]",0.9789
4.jpeg,3D technolog,"[[308.0, 530.0], [649.0, 549.0], [646.0, 604.0], [305.0, 584.0]]",0.9432
4.jpeg,ENGAGE,"[[42.0, 582.0], [324.0, 523.0], [337.0, 584.0], [55.0, 644.0]]",0.9483
4.jpeg,SERIALNo 5M3Q23,"[[144.0, 990.0], [516.0, 962.0], [519.0, 1003.0], [147.0, 1032.0]]",0.9618
5.jpeg,2WF039,"[[73.0, 260.0], [314.0, 257.0], [315.0, 317.0], [74.0, 320.0]]",0.9736
5.jpeg,TP200,"[[75.0, 359.0], [406.0, 359.0], [406.0, 432.0], [75.0, 432.0]]",0.9940
6.jpeg,Serial No,"[[132.0, 53.0], [234.0, 59.0], [233.0, 88.0], [131.0, 82.0]]",0.9507
6.jpeg,6C2H92,"[[131.0, 77.0], [218.0, 83.0], [216.0, 111.0], [129.0, 105.0]]",0.9914
6.jpeg,MADE,"[[217.0, 223.0], [265.0, 229.0], [262.0, 254.0], [214.0, 249.0]]",0.9978
6.jpeg,Serial No,"[[118.0, 585.0], [254.0, 590.0], [253.0, 619.0], [117.0, 614.0]]",0.8927
6.jpeg,51GL50,"[[122.0, 616.0], [214.0, 613.0], [215.0, 640.0], [123.0, 643.0]]",0.9042
6.jpeg,CE,"[[158.0, 680.0], [251.0, 680.0], [251.0, 751.0], [158.0, 751.0]]",0.9711
6.jpeg,Serial No:,"[[103.0, 988.0], [214.0, 994.0], [213.0, 1022.0], [102.0, 1016.0]]",0.9155
6.jpeg,5NJA11,"[[103.0, 1014.0], [194.0, 1022.0], [192.0, 1050.0], [101.0, 1042.0]]",0.9981
